dmu_id,period,input_name,input_value
Entity_18,2025-03-31,concern_count,1040400.0
Entity_101,2025-03-31,concern_count,2340900.0
Entity_104,2025-03-31,concern_count,7645225.0
Entity_69,2025-03-31,concern_count,2722500.0
Entity_3,2025-03-31,concern_count,11902500.0
Entity_47,2025-03-31,concern_count,9180900.0
Entity_73,2025-03-31,concern_count,5475600.0
Entity_57,2025-03-31,concern_count,3132900.0
Entity_66,2025-03-31,concern_count,3385600.0
Entity_40,2025-03-31,concern_count,2102500.0
Entity_8,2025-03-31,concern_count,6100900.0
Entity_13,2025-03-31,concern_count,5832225.0
Entity_26,2025-03-31,concern_count,2941225.0
Entity_67,2025-03-31,concern_count,3900625.0
Entity_118,2025-03-31,concern_count,2175625.0
Entity_27,2025-03-31,concern_count,10857025.0
Entity_53,2025-03-31,concern_count,1512900.0
Entity_70,2025-03-31,concern_count,2624400.0
Entity_11,2025-03-31,concern_count,7700625.0
Entity_63,2025-03-31,concern_count,1625625.0
Entity_114,2025-03-31,concern_count,3980025.0
Entity_33,2025-03-31,concern_count,774400.0
Entity_105,2025-03-31,concern_count,11730625.0
Entity_31,2025-03-31,concern_count,7022500.0
Entity_42,2025-03-31,concern_count,21252100.0
Entity_5,2025-03-31,concern_count,7344100.0
Entity_62,2025-03-31,concern_count,3027600.0
Entity_44,2025-03-31,concern_count,12852225.0
Entity_99,2025-03-31,concern_count,2235025.0
Entity_37,2025-03-31,concern_count,1809025.0
Entity_23,2025-03-31,concern_count,8122500.0
Entity_93,2025-03-31,concern_count,3422500.0
Entity_41,2025-03-31,concern_count,2592100.0
Entity_55,2025-03-31,concern_count,5359225.0
Entity_52,2025-03-31,concern_count,1134225.0
Entity_14,2025-03-31,concern_count,342225.0
Entity_98,2025-03-31,concern_count,12888100.0
Entity_71,2025-03-31,concern_count,4730625.0
Entity_50,2025-03-31,concern_count,883600.0
Entity_9,2025-03-31,concern_count,2640625.0
Entity_86,2025-03-31,concern_count,2805625.0
Entity_25,2025-03-31,concern_count,8555625.0
Entity_58,2025-03-31,concern_count,1177225.0
Entity_1,2025-03-31,concern_count,5616900.0
Entity_22,2025-03-31,concern_count,16728100.0
Entity_80,2025-03-31,concern_count,5198400.0
Entity_2,2025-03-31,concern_count,14062500.0
Entity_88,2025-03-31,concern_count,7236100.0
Entity_51,2025-03-31,concern_count,4818025.0
Entity_78,2025-03-31,concern_count,18705625.0
Entity_120,2025-03-31,concern_count,3404025.0
Entity_102,2025-03-31,concern_count,12888100.0
Entity_38,2025-03-31,concern_count,39000025.0
Entity_77,2025-03-31,concern_count,2739025.0
Entity_4,2025-03-31,concern_count,9765625.0
Entity_35,2025-03-31,concern_count,2117025.0
Entity_91,2025-03-31,concern_count,12567025.0
Entity_87,2025-03-31,concern_count,6502500.0
Entity_95,2025-03-31,concern_count,4326400.0
Entity_115,2025-03-31,concern_count,3496900.0
Entity_82,2025-03-31,concern_count,8702500.0
Entity_12,2025-03-31,concern_count,4223025.0
Entity_96,2025-03-31,concern_count,20385225.0
Entity_6,2025-03-31,concern_count,6125625.0
Entity_21,2025-03-31,concern_count,10336225.0
Entity_54,2025-03-31,concern_count,18966025.0
Entity_60,2025-03-31,concern_count,10336225.0
Entity_49,2025-03-31,concern_count,9734400.0
Entity_43,2025-03-31,concern_count,4326400.0
Entity_24,2025-03-31,concern_count,5832225.0
Entity_116,2025-03-31,concern_count,12040900.0
Entity_59,2025-03-31,concern_count,14212900.0
Entity_7,2025-03-31,concern_count,1755625.0
Entity_92,2025-03-31,concern_count,4120900.0
Entity_29,2025-03-31,concern_count,1020100.0
Entity_74,2025-03-31,concern_count,3276100.0
Entity_32,2025-03-31,concern_count,12924025.0
Entity_84,2025-03-31,concern_count,5152900.0
Entity_79,2025-03-31,concern_count,9486400.0
Entity_81,2025-03-31,concern_count,7980625.0
Entity_112,2025-03-31,concern_count,9922500.0
Entity_61,2025-03-31,concern_count,2073600.0
Entity_68,2025-03-31,concern_count,2822400.0
Entity_46,2025-03-31,concern_count,3027600.0
Entity_111,2025-03-31,concern_count,3629025.0
Entity_108,2025-03-31,concern_count,2002225.0
Entity_89,2025-03-31,concern_count,6528025.0
Entity_19,2025-03-31,concern_count,883600.0
Entity_15,2025-03-31,concern_count,7728400.0
Entity_48,2025-03-31,concern_count,2205225.0
Entity_119,2025-03-31,concern_count,2890000.0
Entity_72,2025-03-31,concern_count,2146225.0
Entity_85,2025-03-31,concern_count,7398400.0
Entity_76,2025-03-31,concern_count,7952400.0
Entity_64,2025-03-31,concern_count,3367225.0
Entity_34,2025-03-31,concern_count,13249600.0
Entity_30,2025-03-31,concern_count,1210000.0
Entity_107,2025-03-31,concern_count,7645225.0
Entity_97,2025-03-31,concern_count,48302500.0
Entity_65,2025-03-31,concern_count,5929225.0
Entity_121,2025-03-31,concern_count,9000000.0
Entity_106,2025-03-31,concern_count,13213225.0
Entity_20,2025-03-31,concern_count,21483225.0
Entity_75,2025-03-31,concern_count,18147600.0
Entity_117,2025-03-31,concern_count,3534400.0
Entity_100,2025-03-31,concern_count,19184400.0
Entity_10,2025-03-31,concern_count,6708100.0
Entity_109,2025-03-31,concern_count,27931225.0
Entity_17,2025-03-31,concern_count,3478225.0
Entity_36,2025-03-31,concern_count,2175625.0
Entity_90,2025-03-31,concern_count,4100625.0
Entity_94,2025-03-31,concern_count,2280100.0
Entity_56,2025-03-31,concern_count,324900.0
Entity_28,2025-03-31,concern_count,4040100.0
Entity_45,2025-03-31,concern_count,9891025.0
Entity_83,2025-03-31,concern_count,2941225.0
Entity_39,2025-03-31,concern_count,2059225.0
Entity_113,2025-03-31,concern_count,10208025.0
Entity_18,2025-07-31,concern_count,1050625.0
Entity_101,2025-07-31,concern_count,2175625.0
Entity_104,2025-07-31,concern_count,7344100.0
Entity_69,2025-07-31,concern_count,2640625.0
Entity_3,2025-07-31,concern_count,12040900.0
Entity_47,2025-07-31,concern_count,8820900.0
Entity_73,2025-07-31,concern_count,5428900.0
Entity_57,2025-07-31,concern_count,3045025.0
Entity_66,2025-07-31,concern_count,3204100.0
Entity_40,2025-07-31,concern_count,2387025.0
Entity_8,2025-07-31,concern_count,5953600.0
Entity_13,2025-07-31,concern_count,5760000.0
Entity_26,2025-07-31,concern_count,2873025.0
Entity_67,2025-07-31,concern_count,3667225.0
Entity_118,2025-07-31,concern_count,2117025.0
Entity_27,2025-07-31,concern_count,10890000.0
Entity_53,2025-07-31,concern_count,1404225.0
Entity_70,2025-07-31,concern_count,2673225.0
Entity_11,2025-07-31,concern_count,7344100.0
Entity_63,2025-07-31,concern_count,1587600.0
Entity_103,2025-07-31,concern_count,4060225.0
Entity_33,2025-07-31,concern_count,756900.0
